ID DECLARATION;TYPE DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE DECLARATION;MOIS DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d;mois_annee_decla
49247;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;70 Avenue des Gobelins, 75013 PARIS;75013;Paris 13;13;CROULEBARBE;2021-06-18;2021;6;Androï;DEVE-SAB;G2021F049247;"{""coordinates"": [2.354332201466774, 48.83242399485269], ""type"": ""Point""}";48.83242399485269,2.354332201466774;2021-06
47488;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;61 Boulevard Pasteur, 75015 PARIS;75015;Paris 15;15;PASTEUR - MONTPARNASSE;2021-06-17;2021;6;Androï;DVD;G2021F047488;"{""coordinates"": [2.314521805862731, 48.8413999975623], ""type"": ""Point""}";48.8413999975623,2.314521805862731;2021-06
32088;Arbres, végétaux et animaux;Pied d'arbre:Entourage d'arbre en mauvais état;239 Rue du Faubourg Saint-Martin, 75010 PARIS;75010;Paris 10;10;LOUIS BLANC - AQUEDUC;2021-06-12;2021;6;IOPage DMR Paris.fr application;DEVE-SAB;A2021F032088;"{""coordinates"": [2.366649996609607, 48.882435002398424], ""type"": ""Point""}";48.882435002398424,2.366649996609607;2021-06
32836;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;8bis Rue Lebon, 75017 PARIS;75017;Paris 17;17;TERNES - MAILLOT;2021-06-12;2021;6;IOPage DMR Paris.fr application;;A2021F032836;"{""coordinates"": [2.291922604658492, 48.88110000341947], ""type"": ""Point""}";48.88110000341947,2.291922604658492;2021-06
38998;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;16 Boulevard de Charonne, 75020 PARIS;75020;Paris 20;20;PLAINE LAGNY;2021-06-14;2021;6;IOPage DMR Paris.fr application;;A2021F038998;"{""coordinates"": [2.3991779935531676, 48.84926000304594], ""type"": ""Point""}";48.84926000304594,2.3991779935531676;2021-06
41999;Arbres, végétaux et animaux;Herbes éparses;5 avenue Albert Bartholomé, 75015 PARIS;75015;Paris 15;15;GEORGES BRASSENS;2021-06-15;2021;6;Page DMR Paris.fr;DPE-STPP-DT;S2021F041999;"{""coordinates"": [2.2928292938780155, 48.829429995669265], ""type"": ""Point""}";48.829429995669265,2.2928292938780155;2021-06
17192;Arbres, végétaux et animaux;Herbes éparses;15 Rue d'Orchampt, 75018 PARIS;75018;Paris 18;18;MONTMARTRE;2021-06-07;2021;6;Androï;DPE-STPP-DT;G2021F017192;"{""coordinates"": [2.337161505245348, 48.88720700115802], ""type"": ""Point""}";48.88720700115802,2.337161505245348;2021-06
26414;Arbres, végétaux et animaux;Herbes éparses;5 Parvis du Sacré-C¿ur, 75018 PARIS;75018;Paris 18;18;MONTMARTRE;2021-06-10;2021;6;Androï;DPE-STPP-DT;G2021F026414;"{""coordinates"": [2.342329703653242, 48.8863139951008], ""type"": ""Point""}";48.8863139951008,2.342329703653242;2021-06
37471;Arbres, végétaux et animaux;Présence de rats;17 Rue Bonaparte, 75006 PARIS;75006;Paris 6;6;SAINT - GERMAIN DES PRES;2021-06-14;2021;6;IOPage DMR Paris.fr application;DASES;A2021F037471;"{""coordinates"": [2.334491993875768, 48.85610599944297], ""type"": ""Point""}";48.85610599944297,2.334491993875768;2021-06
34627;Arbres, végétaux et animaux;Présence de rats;1 rue Cambronne, 75015 PARIS;75015;Paris 15;15;CAMBRONNE - GARIBALDI;2021-06-13;2021;6;Page DMR Paris.fr;DASES;S2021F034627;"{""coordinates"": [2.3017589940342162, 48.84739700195987], ""type"": ""Point""}";48.84739700195987,2.3017589940342162;2021-06
45875;Arbres, végétaux et animaux;Présence de rats;7 rue de Mont-Louis, 75011 PARIS;75011;Paris 11;11;LEON BLUM - FOLIE-REGNAULT;2021-06-17;2021;6;Page DMR Paris.fr;DASES;S2021F045875;"{""coordinates"": [2.3881469022929287, 48.85820799828786], ""type"": ""Point""}";48.85820799828786,2.3881469022929287;2021-06
45108;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;18 rue Lalande, 75014 PARIS;75014;Paris 14;14;MOUTON - DUVERNET;2021-06-17;2021;6;Page DMR Paris.fr;DEVE-SAB;S2021F045108;"{""coordinates"": [2.328185598181233, 48.83417500039131], ""type"": ""Point""}";48.83417500039131,2.328185598181233;2021-06
44432;Arbres, végétaux et animaux;Pied d'arbre:Grille d'arbre mal positionnée;2 Boulevard Morland, 75004 PARIS;75001;Paris 1;4;ARSENAL;2021-06-16;2021;6;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021F044432;"{""coordinates"": [2.365473301417255, 48.84779400182275], ""type"": ""Point""}";48.84779400182275,2.365473301417255;2021-06
23602;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;30 Rue de Paradis, 75010 PARIS;75010;Paris 10;10;PORTE SAINT-DENIS - PARADIS;2021-07-09;2021;7;Androï;;G2021G023602;"{""coordinates"": [2.351968006724563, 48.87530999636123], ""type"": ""Point""}";48.87530999636123,2.351968006724563;2021-07
9665;Arbres, végétaux et animaux;Pied d'arbre:Entourage d'arbre en mauvais état;58 Boulevard Mortier, 75020 PARIS;75020;Paris 20;20;GAMBETTA;2021-07-04;2021;7;Androï;DEVE-SAB;G2021G009665;"{""coordinates"": [2.4090210059198593, 48.86811000110026], ""type"": ""Point""}";48.86811000110026,2.4090210059198593;2021-07
26330;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;15 Rue du Charolais, 75012 PARIS;75012;Paris 12;12;JARDIN DE REUILLY;2021-07-10;2021;7;Androï;DEVE-SAB;G2021G026330;"{""coordinates"": [2.386946403727091, 48.840004000127], ""type"": ""Point""}";48.840004000127,2.386946403727091;2021-07
38351;Arbres, végétaux et animaux;Pied d'arbre:Entourage d'arbre en mauvais état;34 Rue de Chaligny, 75012 PARIS;75012;Paris 12;12;JARDIN DE REUILLY;2021-08-19;2021;8;Androï;DEVE-SAB;G2021H038351;"{""coordinates"": [2.384211306152559, 48.84851499534236], ""type"": ""Point""}";48.84851499534236,2.384211306152559;2021-08
41391;Arbres, végétaux et animaux;Herbes éparses;11  Rue de la Croix Saint-Simon, 75020 PARIS;75020;Paris 20;20;SAINT BLAISE;2021-08-21;2021;8;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021H041391;"{""coordinates"": [2.4075031027555536, 48.85435499487539], ""type"": ""Point""}";48.85435499487539,2.4075031027555536;2021-08
49921;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;56 Avenue des Gobelins, 75013 PARIS;75013;Paris 13;13;CROULEBARBE;2021-07-20;2021;7;Androï;DEVE-SAB;G2021G049921;"{""coordinates"": [2.353710705181519, 48.83366800142815], ""type"": ""Point""}";48.83366800142815,2.353710705181519;2021-07
53051;Arbres, végétaux et animaux;Pied d'arbre:Végétation débordante en pied d'arbre;86 boulevard de la Tour-Maubourg, 75007 PARIS;75007;Paris 7;7;GROS CAILLOU;2021-07-21;2021;7;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021G053051;"{""coordinates"": [2.309521779784978, 48.85546926118373], ""type"": ""Point""}";48.85546926118373,2.309521779784978;2021-07
57801;Arbres, végétaux et animaux;Présence de rats;4 Square d'Amiens, 75020 PARIS;75020;Paris 20;20;SAINT BLAISE;2021-07-23;2021;7;IOPage DMR Paris.fr application;DASES;A2021G057801;"{""coordinates"": [2.4110495986424683, 48.86066399833334], ""type"": ""Point""}";48.86066399833334,2.4110495986424683;2021-07
25776;Arbres, végétaux et animaux;Présence de rats;13 quai de la Garonne, 75019 PARIS;75019;Paris 19;19;MANIN - JAURES;2021-08-13;2021;8;Page DMR Paris.fr;DASES;S2021H025776;"{""coordinates"": [2.387018394764811, 48.8902360027509], ""type"": ""Point""}";48.8902360027509,2.387018394764811;2021-08
47880;Arbres, végétaux et animaux;Pied d'arbre:Entourage d'arbre en mauvais état;2B Boulevard Morland, 75004 PARIS;75001;Paris 1;4;ARSENAL;2021-08-24;2021;8;IOPage DMR Paris.fr application;DEVE-SAB;A2021H047880;"{""coordinates"": [2.3653940042528987, 48.84768000142604], ""type"": ""Point""}";48.84768000142604,2.3653940042528987;2021-08
48813;Arbres, végétaux et animaux;Présence de rats;14 rue Santos-Dumont, 75015 PARIS;75015;Paris 15;15;GEORGES BRASSENS;2021-08-24;2021;8;Page DMR Paris.fr;DASES;S2021H048813;"{""coordinates"": [2.305341998968422, 48.83380999867112], ""type"": ""Point""}";48.83380999867112,2.305341998968422;2021-08
62997;Arbres, végétaux et animaux;Présence de rats;23 rue Curnonsky, 75017 PARIS;75017;Paris 17;17;CHAMPERRET - BERTHIER;2021-07-25;2021;7;Page DMR Paris.fr;DASES;S2021G062997;"{""coordinates"": [2.294655298008503, 48.88952599906174], ""type"": ""Point""}";48.88952599906174,2.294655298008503;2021-07
62281;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;28 Rue de Lévis, 75017 PARIS;75017;Paris 17;17;LEGENDRE - LEVIS;2021-07-24;2021;7;IOPage DMR Paris.fr application;;A2021G062281;"{""coordinates"": [2.3149790010608657, 48.882736000438875], ""type"": ""Point""}";48.882736000438875,2.3149790010608657;2021-07
28402;Arbres, végétaux et animaux;Herbes éparses;46 Rue Pouchet, 75017 PARIS;75017;Paris 17;17;LA FOURCHE - GUY MOQUET;2021-08-15;2021;8;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021H028402;"{""coordinates"": [2.320822994019912, 48.89443199776804], ""type"": ""Point""}";48.89443199776804,2.320822994019912;2021-08
9378;Arbres, végétaux et animaux;Présence de rats;47 Rue Vauvenargues, 75018 PARIS;75018;Paris 18;18;GRANDES CARRIERES - CLICHY;2021-08-05;2021;8;Androï;DASES;G2021H009378;"{""coordinates"": [2.3314540020907497, 48.895133998441274], ""type"": ""Point""}";48.895133998441274,2.3314540020907497;2021-08
33285;Arbres, végétaux et animaux;Présence de rats;3 rue Mayran, 75009 PARIS;75009;Paris 9;9;ANVERS - MONTHOLON;2021-08-17;2021;8;Page DMR Paris.fr;DASES;S2021H033285;"{""coordinates"": [2.3457936965812287, 48.87686999984835], ""type"": ""Point""}";48.87686999984835,2.3457936965812287;2021-08
68017;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;18 avenue Gambetta, 75020 PARIS;75020;Paris 20;20;AMANDIERS - MENILMONTANT;2021-07-27;2021;7;Page DMR Paris.fr;;S2021G068017;"{""coordinates"": [2.389670605781117, 48.86330999869394], ""type"": ""Point""}";48.86330999869394,2.389670605781117;2021-07
19763;Arbres, végétaux et animaux;Pied d'arbre:Entourage d'arbre en mauvais état;119 Rue de Tolbiac, 75013 PARIS;75013;Paris 13;13;OLYMPIADES - CHOISY;2021-08-10;2021;8;Androï;DEVE-SAB;G2021H019763;"{""coordinates"": [2.362642298012542, 48.8264599973653], ""type"": ""Point""}";48.8264599973653,2.362642298012542;2021-08
