ID DECLARATION;TYPE DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE DECLARATION;MOIS DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d;mois_annee_decla
24538;Arbres, végétaux et animaux;Pelouse en mauvais état;18 Boulevard Jules Ferry, 75011 PARIS;75011;Paris 11;11;REPUBLIQUE - SAINT-AMBROISE;2021-06-09;2021;6;IOPage DMR Paris.fr application;;A2021F024538;"{""coordinates"": [2.368387694725696, 48.86799999729281], ""type"": ""Point""}";48.86799999729281,2.368387694725696;2021-06
49740;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence d'un animal mort;4 Rue de la Py, 75020 PARIS;75020;Paris 20;20;GAMBETTA;2021-06-18;2021;6;Androï;DPE-STPP-DT;G2021F049740;"{""coordinates"": [2.405655593834452, 48.86485699572409], ""type"": ""Point""}";48.86485699572409,2.405655593834452;2021-06
42138;Arbres, végétaux et animaux;Herbes éparses;148 rue de Tocqueville, 75017 PARIS;75017;Paris 17;17;PEREIRE - MALESHERBES;2021-06-15;2021;6;Page DMR Paris.fr;DPE-STPP-DT;S2021F042138;"{""coordinates"": [2.304718293874363, 48.889719995466876], ""type"": ""Point""}";48.889719995466876,2.304718293874363;2021-06
52880;Arbres, végétaux et animaux;Herbes éparses;141B Rue La Fayette, 75010 PARIS;75010;Paris 10;10;SAINT - VINCENT DE PAUL - LARIBOISIERE;2022-02-23;2022;2;Androï;DPE-STPP-DT;G2022B052880;"{""coordinates"": [2.3556323005858415, 48.87911600037075], ""type"": ""Point""}";48.87911600037075,2.3556323005858415;2022-02
65393;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence d'essaim ou de nid d'insectes;13 rue Feutrier, 75018 PARIS;75018;Paris 18;18;MONTMARTRE;2021-07-26;2021;7;Page DMR Paris.fr;;S2021G065393;"{""coordinates"": [2.3464167057037035, 48.886883003513965], ""type"": ""Point""}";48.886883003513965,2.3464167057037035;2021-07
73484;Arbres, végétaux et animaux;Présence de rats;1 rue du Parc de Montsouris, 75014 PARIS;75014;Paris 14;14;MONTSOURIS - DAREAU;2021-07-29;2021;7;Page DMR Paris.fr;DASES;S2021G073484;"{""coordinates"": [2.334589495862009, 48.82226000215785], ""type"": ""Point""}";48.82226000215785,2.334589495862009;2021-07
5496;Arbres, végétaux et animaux;Pied d'arbre:Végétation débordante en pied d'arbre;21 Boulevard du Temple, 75003 PARIS;75001;Paris 1;3;ENFANTS ROUGES;2021-08-03;2021;8;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021H005496;"{""coordinates"": [2.365592199450222, 48.86456300008888], ""type"": ""Point""}";48.86456300008888,2.365592199450222;2021-08
5509;Arbres, végétaux et animaux;Pied d'arbre:Grille d'arbre mal positionnée;71 Rue de Bagnolet, 75020 PARIS;75020;Paris 20;20;REUNION - PERE LACHAISE;2021-08-03;2021;8;Androï;DPE-STPP-DT;G2021H005509;"{""coordinates"": [2.3997329988421616, 48.85792999810393], ""type"": ""Point""}";48.85792999810393,2.3997329988421616;2021-08
57363;Arbres, végétaux et animaux;Présence de souris;2 rue Montmartre, 75001 PARIS;75001;Paris 1;1;LES HALLES;2022-02-25;2022;2;Page DMR Paris.fr;DASES;S2022B057363;"{""coordinates"": [2.346100998831307, 48.863323002059616], ""type"": ""Point""}";48.863323002059616,2.346100998831307;2022-02
3953;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence d'un animal mort;198 Pont Notre Dame, 75004 PARIS;75001;Paris 1;4;LES ILES;2021-08-02;2021;8;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021H003953;"{""coordinates"": [2.348058198685532, 48.85615499513087], ""type"": ""Point""}";48.85615499513087,2.348058198685532;2021-08
66536;Arbres, végétaux et animaux;Arbre à élaguer;58 Boulevard de Bercy, 75012 PARIS;75012;Paris 12;12;BERCY;2021-07-26;2021;7;IOPage DMR Paris.fr application;DEVE-SAB;A2021G066536;"{""coordinates"": [2.38760380173549, 48.83889000032936], ""type"": ""Point""}";48.83889000032936,2.38760380173549;2021-07
52355;Arbres, végétaux et animaux;Arbre à élaguer;166 Quai de Jemmapes, 75010 PARIS;75010;Paris 10;10;GRANGE AUX BELLES - TERRAGE;2021-08-26;2021;8;IOPage DMR Paris.fr application;DEVE-SAB;A2021H052355;"{""coordinates"": [2.3667311952861594, 48.87861600283839], ""type"": ""Point""}";48.87861600283839,2.3667311952861594;2021-08
56533;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;50 Rue du Vertbois, 75003 PARIS;75001;Paris 1;3;ARTS ET METIERS;2021-08-27;2021;8;IOPage DMR Paris.fr application;DVD;A2021H056533;"{""coordinates"": [2.357035206082263, 48.86730000175441], ""type"": ""Point""}";48.86730000175441,2.357035206082263;2021-08
55784;Arbres, végétaux et animaux;Présence de rats;30 allée des Orgues de Flandre, 75019 PARIS;75019;Paris 19;19;FLANDRE - AUBERVILLIERS;2021-08-27;2021;8;Page DMR Paris.fr;DASES;S2021H055784;"{""coordinates"": [2.375455094818309, 48.89031200280308], ""type"": ""Point""}";48.89031200280308,2.375455094818309;2021-08
5981;Arbres, végétaux et animaux;Herbes éparses;48 Rue de Laborde, 75008 PARIS;75008;Paris 8;8;MAIRIE;2021-08-03;2021;8;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021H005981;"{""coordinates"": [2.3164327040250168, 48.87546500022465], ""type"": ""Point""}";48.87546500022465,2.3164327040250168;2021-08
15045;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;28 boulevard de l'Hôpital, 75005 PARIS;75005;Paris 5;5;JARDIN DES PLANTES;2021-08-07;2021;8;Androï;DEVE-SAB;G2021H015045;"{""coordinates"": [2.36235759733163, 48.84110299805399], ""type"": ""Point""}";48.84110299805399,2.36235759733163;2021-08
62444;Arbres, végétaux et animaux;Pied d'arbre:Entourage d'arbre en mauvais état;68 boulevard Barbès, 75018 PARIS;75018;Paris 18;18;GOUTTE D'OR - CHATEAU ROUGE;2022-02-27;2022;2;Androï;DEVE-SAB;G2022B062444;"{""coordinates"": [2.3499271939584547, 48.88881300211462], ""type"": ""Point""}";48.88881300211462,2.3499271939584547;2022-02
54310;Arbres, végétaux et animaux;Présence de rats;30 rue Censier, 75005 PARIS;75005;Paris 5;5;JARDIN DES PLANTES;2022-02-23;2022;2;Page DMR Paris.fr;DASES;S2022B054310;"{""coordinates"": [2.351883998174769, 48.840229998926034], ""type"": ""Point""}";48.840229998926034,2.351883998174769;2022-02
79194;Arbres, végétaux et animaux;Herbes éparses;14 Rue du Général Niox, 75016 PARIS;75016;Paris 16;16;AUTEUIL SUD;2021-07-31;2021;7;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021G079194;"{""coordinates"": [2.2622066016643303, 48.836933003476524], ""type"": ""Point""}";48.836933003476524,2.2622066016643303;2021-07
63982;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence de déjections canines;1z rue Robert Blache, 75010 PARIS;75010;Paris 10;10;GRANGE AUX BELLES - TERRAGE;2022-02-28;2022;2;IOPage DMR Paris.fr application;DPE-STPP-DT;A2022B063982;"{""coordinates"": [2.3638964045969555, 48.877056000918465], ""type"": ""Point""}";48.877056000918465,2.3638964045969555;2022-02
30453;Arbres, végétaux et animaux;Herbes éparses;12 Rue de Surène, 75008 PARIS;75008;Paris 8;8;ELYSEES - MADELEINE;2021-08-16;2021;8;Androï;DPE-STPP-DT;G2021H030453;"{""coordinates"": [2.3208014949860227, 48.870999999514545], ""type"": ""Point""}";48.870999999514545,2.3208014949860227;2021-08
22734;Arbres, végétaux et animaux;[] Herbes nécessitant l'organisation d'une opération de tonte spécifique;155 Avenue de Suffren, 75015 PARIS;75015;Paris 15;15;CAMBRONNE - GARIBALDI;2022-05-10;2022;5;Androï;DPE-STPP-Fonctionnelle;G2022E022734;"{""coordinates"": [2.308433500287033, 48.846672003500316], ""type"": ""Point""}";48.846672003500316,2.308433500287033;2022-05
28869;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;2 avenue du Président Kennedy, 75016 PARIS;75016;Paris 16;16;MUETTE SUD;2022-05-12;2022;5;Page DMR Paris.fr;DEVE-SAB;S2022E028869;"{""coordinates"": [2.2876842033618616, 48.857920002463565], ""type"": ""Point""}";48.857920002463565,2.2876842033618616;2022-05
31846;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;119 Rue de Lagny, 75020 PARIS;75020;Paris 20;20;PLAINE LAGNY;2021-09-11;2021;9;Androï;DEVE-SAB;G2021I031846;"{""coordinates"": [2.414057506647592, 48.84903999833498], ""type"": ""Point""}";48.84903999833498,2.414057506647592;2021-09
40419;Arbres, végétaux et animaux;[] Herbes nécessitant l'organisation d'une opération de tonte spécifique;59 Avenue de Ségur, 75007 PARIS;75007;Paris 7;7;ECOLE MILITAIRE;2022-05-16;2022;5;IOPage DMR Paris.fr application;DPE-STPP-Fonctionnelle;A2022E040419;"{""coordinates"": [2.307491993883734, 48.848952997944544], ""type"": ""Point""}";48.848952997944544,2.307491993883734;2022-05
31241;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;108 Rue des Maraîchers, 75020 PARIS;75020;Paris 20;20;SAINT BLAISE;2022-05-12;2022;5;Androï;DEVE-SAB;G2022E031241;"{""coordinates"": [2.404990694562572, 48.85684999803604], ""type"": ""Point""}";48.85684999803604,2.404990694562572;2022-05
33548;Arbres, végétaux et animaux;Arbre à élaguer;160 Boulevard Masséna, 75013 PARIS;75013;Paris 13;13;ITALIE - PEUPLIERS - RUNGIS;2021-09-11;2021;9;IOPage DMR Paris.fr application;DEVE-SAB;A2021I033548;"{""coordinates"": [2.3607469948867323, 48.81940500344], ""type"": ""Point""}";48.81940500344,2.3607469948867323;2021-09
38382;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence d'un animal mort;96 Rue Réaumur, 75002 PARIS;75001;Paris 1;2;SENTIER - BONNE NOUVELLE;2021-08-19;2021;8;Androï;DPE-STPP-DT;G2021H038382;"{""coordinates"": [2.349086999530534, 48.86733200006574], ""type"": ""Point""}";48.86733200006574,2.349086999530534;2021-08
32085;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;30 rue de la Chapelle, 75018 PARIS;75018;Paris 18;18;LA CHAPELLE - MARX DORMOY;2022-05-12;2022;5;Page DMR Paris.fr;DEVE-SAB;S2022E032085;"{""coordinates"": [2.3599531996708376, 48.89240299821004], ""type"": ""Point""}";48.89240299821004,2.3599531996708376;2022-05
38481;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;18 Rue de la Porte d'Issy, 75015 PARIS;75015;Paris 15;15;VAUGIRARD - PARC DES EXPOSITIONS;2021-08-19;2021;8;IOPage DMR Paris.fr application;;A2021H038481;"{""coordinates"": [2.282269701073361, 48.83330000052799], ""type"": ""Point""}";48.83330000052799,2.282269701073361;2021-08
59137;Arbres, végétaux et animaux;Pied d'arbre:Végétation débordante en pied d'arbre;86 Avenue de Wagram, 75017 PARIS;75017;Paris 17;17;COURCELLES - WAGRAM;2021-08-28;2021;8;IOPage DMR Paris.fr application;DPE-STPP-DT;A2021H059137;"{""coordinates"": [2.301796993951741, 48.88262000230067], ""type"": ""Point""}";48.88262000230067,2.301796993951741;2021-08
61342;Arbres, végétaux et animaux;[] Herbes nécessitant l'organisation d'une opération de tonte spécifique;2 Rue Jean-Baptiste Dumay, 75020 PARIS;75020;Paris 20;20;BELLEVILLE;2022-05-24;2022;5;Androï;DPE-STPP-Fonctionnelle;G2022E061342;"{""coordinates"": [2.3880366941604385, 48.87394300173577], ""type"": ""Point""}";48.87394300173577,2.3880366941604385;2022-05
