DOMANIALITE,ARRONDISSEMENT,GENRE,ESPECE,VARIETE OUCULTIVAR,CIRCONFERENCE (cm),HAUTEUR (m),STADE DE DEVELOPPEMENT,latitude,longitude
Alignement,17,Tilia,tomentosa,''Brabant'',45,6,Jeune (arbre),48.88996277726261,2.316664637369121
Alignement,17,Platanus,x hispanica,,35,5,Jeune (arbre),48.88312709688634,2.3076236647052
Alignement,13,Sophora,japonica,,75,8,Jeune (arbre)Adulte,48.82501305246615,2.388252376474091
Alignement,19,Tilia,tomentosa,,50,5,Jeune (arbre)Adulte,48.877317968304645,2.39324808116579
Alignement,18,Sophora,japonica,''Regent'',42,7,Jeune (arbre),48.8891054899862,2.33456087619526
Alignement,13,Aesculus,hippocastanum,''Baumannii'',80,8,Jeune (arbre)Adulte,48.8349208754186,2.34239297777482
Alignement,19,Trachycarpus,fortunei,,75,7,Adulte,48.89415514201253,2.37375776113916
Alignement,12,Platanus,x hispanica,,35,5,Jeune (arbre)Adulte,48.84756001424295,2.374581715032763
Alignement,16,Platanus,x hispanica,,118,18,Adulte,48.872575581644064,2.29396976678411
Alignement,17,Acer,negundo,,57,6,Adulte,48.886056600569475,2.2862987624517
Alignement,12,Tilia,tomentosa,,65,5,Jeune (arbre)Adulte,48.848410318515825,2.36791755299582
Alignement,12,Aesculus,hippocastanum,,155,10,Adulte,48.84358860479065,2.412847805673477
Alignement,15,Ulmus,n. sp.,,210,15,Adulte,48.836236407470565,2.31040881849674
Alignement,14,Platanus,x hispanica,,105,10,Jeune (arbre)Adulte,48.83356577396207,2.335039876269928
Alignement,13,Alnus,glutinosa,,30,5,Jeune (arbre),48.82027304366448,2.355576937773635
Alignement,20,Robinia,pseudoacacia,''Bessoniana'',85,6,Adulte,48.85658427999556,2.41181107086808
Alignement,12,Aesculus,hippocastanum,,35,5,Jeune (arbre),48.835225700085275,2.41221013086984
Alignement,20,Lagerstroemia,indica,,35,3,Jeune (arbre),48.87650872395615,2.40670867748641
Alignement,12,Tilia,platyphyllos,,95,16,Jeune (arbre)Adulte,48.8342281392708,2.442899543512784
Alignement,19,Sophora,japonica,,85,5,Adulte,48.892014634180434,2.378144132766224
Alignement,12,Platanus,x hispanica,,135,10,Adulte,48.84252030802843,2.3718973142398
Alignement,13,Aesculus,x carnea,''Briotii'',100,8,Adulte,48.82872206334344,2.3679886329597
Alignement,15,Juglans,nigra,,50,8,Jeune (arbre)Adulte,48.839421780668005,2.28388878973642
Alignement,17,Platanus,x hispanica,,20,5,,48.87479994574526,2.292290098820839
Alignement,19,Platanus,x hispanica,,35,5,,48.89028188196534,2.3974073936442
Alignement,12,Aesculus,hippocastanum,,180,10,Adulte,48.83674327218824,2.412786290121665
Alignement,18,Platanus,x hispanica,,124,14,Adulte,48.88532711539884,2.34936132189226
